Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0050          -9.4784      -9.4786       0.0002     0.8
0.0100          -9.4784      -9.4792       0.0008     2.9
0.0150          -9.4785      -9.4802       0.0017     6.5
0.0200          -9.4786      -9.4818       0.0032    12.4
0.0250          -9.4786      -9.4843       0.0057    21.9
0.0300          -9.4787      -9.4880       0.0093    35.9
0.0350          -9.4793      -9.4932       0.0139    53.8
0.0400          -9.4800      -9.5009       0.0208    80.5
0.0450          -9.4803      -9.5120       0.0316   122.3
0.0500          -9.4814      -9.5277       0.0463   178.9
0.0550          -9.4850      -9.5492       0.0642   248.3
0.0600          -9.4875      -9.5791       0.0916   354.4
0.0650          -9.4930      -9.6193       0.1263   488.6
0.0700          -9.5009      -9.6709       0.1700   657.5
0.0750          -9.5112      -9.7339       0.2227   861.6
0.0800          -9.5212      -9.8068       0.2855  1104.5
0.0850          -9.5376      -9.8821       0.3445  1332.5
0.0900          -9.5579      -9.9479       0.3900  1508.6
0.0950          -9.5799      -9.9898       0.4099  1585.6
0.1000          -9.5963      -9.9957       0.3994  1545.0
0.1050          -9.6171      -9.9613       0.3442  1331.5
0.1100          -9.6307      -9.8936       0.2628  1016.6
0.1150          -9.6368      -9.8087       0.1719   664.9
0.1200          -9.6447      -9.7274       0.0827   319.8
0.1250          -9.6462      -9.6692       0.0229    88.8
0.1300          -9.6468      -9.6469       0.0001     0.5
0.1350          -9.6468      -9.6637       0.0170    65.6
0.1400          -9.6493      -9.7160       0.0666   257.8
0.1450          -9.6550      -9.7907       0.1358   525.1
0.1500          -9.6662      -9.8713       0.2051   793.3
0.1550          -9.6789      -9.9405       0.2616  1011.8
0.1600          -9.6883      -9.9849       0.2966  1147.4
0.1650          -9.7033      -9.9983       0.2949  1140.9
0.1700          -9.7173      -9.9826       0.2653  1026.3
0.1750          -9.7309      -9.9468       0.2159   835.0
0.1800          -9.7401      -9.9014       0.1612   623.7
0.1850          -9.7447      -9.8557       0.1110   429.2
0.1900          -9.7485      -9.8155       0.0670   259.1
0.1950          -9.7500      -9.7840       0.0340   131.5
0.2000          -9.7510      -9.7628       0.0117    45.4
0.2050          -9.7516      -9.7527       0.0012     4.5
0.2100          -9.7516      -9.7535       0.0019     7.4
0.2150          -9.7521      -9.7648       0.0126    48.8
0.2200          -9.7525      -9.7860       0.0335   129.5
0.2250          -9.7545      -9.8166       0.0621   240.3
0.2300          -9.7577      -9.8551       0.0974   376.7
0.2350          -9.7652      -9.8977       0.1325   512.4
0.2400          -9.7726      -9.9394       0.1668   645.3
0.2450          -9.7817      -9.9740       0.1923   743.8
0.2500          -9.7899      -9.9946       0.2048   792.2
0.2550          -9.7980      -9.9965       0.1985   768.0
0.2600          -9.8050      -9.9783       0.1733   670.3
0.2650          -9.8117      -9.9440       0.1323   511.7
0.2700          -9.8162      -9.9013       0.0851   329.3
0.2750          -9.8185      -9.8605       0.0420   162.4
0.2800          -9.8197      -9.8311       0.0113    43.9
0.2850          -9.8197      -9.8199       0.0001     0.5
0.2900          -9.8196      -9.8285       0.0088    34.1
0.2950          -9.8211      -9.8551       0.0340   131.6
0.3000          -9.8244      -9.8931       0.0687   265.9
0.3050          -9.8290      -9.9337       0.1048   405.3
0.3100          -9.8343      -9.9685       0.1341   518.9
0.3150          -9.8420      -9.9908       0.1488   575.6
0.3200          -9.8475      -9.9978       0.1503   581.3
0.3250          -9.8555      -9.9904       0.1349   521.7
0.3300          -9.8575      -9.9719       0.1144   442.5
0.3350          -9.8607      -9.9465       0.0858   331.9
0.3400          -9.8642      -9.9197       0.0555   214.8
0.3450          -9.8664      -9.8966       0.0302   116.8
0.3500          -9.8679      -9.8798       0.0120    46.3
0.3550          -9.8679      -9.8705       0.0026    10.1
0.3600          -9.8675      -9.8682       0.0007     2.6
0.3650          -9.8678      -9.8737       0.0059    22.7
0.3700          -9.8680      -9.8874       0.0194    75.0
0.3750          -9.8699      -9.9074       0.0375   145.1
0.3800          -9.8741      -9.9306       0.0565   218.5
0.3850          -9.8765      -9.9541       0.0776   300.1
0.3900          -9.8816      -9.9756       0.0940   363.6
0.3950          -9.8883      -9.9914       0.1031   399.0
0.4000          -9.8909      -9.9983       0.1074   415.4
0.4050          -9.8969      -9.9943       0.0974   376.7
0.4100          -9.9002      -9.9806       0.0804   310.8
0.4150          -9.9044      -9.9604       0.0560   216.6
0.4200          -9.9070      -9.9390       0.0319   123.5
0.4250          -9.9092      -9.9213       0.0121    46.9
0.4300          -9.9094      -9.9114       0.0020     7.6
0.4350          -9.9094      -9.9107       0.0014     5.3
0.4400          -9.9102      -9.9194       0.0091    35.3
0.4450          -9.9104      -9.9351       0.0247    95.5
0.4500          -9.9120      -9.9551       0.0431   166.6
0.4550          -9.9169      -9.9742       0.0573   221.8
0.4600          -9.9188      -9.9892       0.0704   272.3
0.4650          -9.9209      -9.9973       0.0764   295.5
0.4700          -9.9253      -9.9973       0.0719   278.1
0.4750          -9.9294      -9.9905       0.0611   236.5
0.4800          -9.9308      -9.9795       0.0488   188.6
0.4850          -9.9330      -9.9668       0.0338   130.7
0.4900          -9.9336      -9.9543       0.0207    80.1
0.4950          -9.9340      -9.9433       0.0093    35.9
0.5000          -9.9345      -9.9363       0.0017     6.6
0.5050          -9.9347      -9.9351       0.0004     1.5
0.5100          -9.9348      -9.9389       0.0041    15.8
0.5150          -9.9353      -9.9464       0.0111    43.0
0.5200          -9.9359      -9.9568       0.0209    80.7
0.5250          -9.9371      -9.9690       0.0319   123.3
0.5300          -9.9374      -9.9815       0.0441   170.4
0.5350          -9.9407      -9.9916       0.0509   197.0
0.5400          -9.9437      -9.9974       0.0537   207.8
0.5450          -9.9460      -9.9978       0.0518   200.4
0.5500          -9.9491      -9.9930       0.0439   169.8
0.5550          -9.9512      -9.9846       0.0334   129.1
0.5600          -9.9519      -9.9742       0.0223    86.1
0.5650          -9.9529      -9.9641       0.0112    43.3
0.5700          -9.9542      -9.9570       0.0028    10.8
0.5750          -9.9540      -9.9542       0.0002     1.0
0.5800          -9.9540      -9.9562       0.0022     8.6
0.5850          -9.9540      -9.9626       0.0085    33.0
0.5900          -9.9553      -9.9718       0.0165    63.8
0.5950          -9.9559      -9.9817       0.0259   100.2
0.6000          -9.9567      -9.9905       0.0338   130.8
0.6050          -9.9594      -9.9963       0.0369   142.7
0.6100          -9.9615      -9.9982       0.0367   141.8
0.6150          -9.9622      -9.9964       0.0342   132.2
0.6200          -9.9629      -9.9918       0.0289   111.6
0.6250          -9.9628      -9.9852       0.0224    86.7
0.6300          -9.9634      -9.9780       0.0146    56.5
0.6350          -9.9636      -9.9712       0.0076    29.4
0.6400          -9.9638      -9.9664       0.0026    10.0
0.6450          -9.9640      -9.9643       0.0003     1.0
0.6500          -9.9641      -9.9649       0.0009     3.4
0.6550          -9.9643      -9.9683       0.0040    15.4
0.6600          -9.9650      -9.9736       0.0086    33.1
0.6650          -9.9658      -9.9801       0.0143    55.3
0.6700          -9.9663      -9.9869       0.0206    79.9
0.6750          -9.9686      -9.9928       0.0242    93.5
0.6800          -9.9711      -9.9967       0.0256    99.0
0.6850          -9.9721      -9.9983       0.0262   101.2
0.6900          -9.9738      -9.9973       0.0235    91.1
0.6950          -9.9756      -9.9941       0.0186    71.8
0.7000          -9.9762      -9.9895       0.0133    51.4
0.7050          -9.9765      -9.9844       0.0078    30.3
0.7100          -9.9768      -9.9801       0.0032    12.6
0.7150          -9.9769      -9.9775       0.0006     2.2
0.7200          -9.9768      -9.9769       0.0001     0.3
0.7250          -9.9770      -9.9783       0.0013     4.9
0.7300          -9.9774      -9.9813       0.0039    15.1
0.7350          -9.9780      -9.9854       0.0074    28.5
0.7400          -9.9788      -9.9899       0.0111    42.9
0.7450          -9.9800      -9.9940       0.0140    54.0
0.7500          -9.9801      -9.9969       0.0169    65.2
0.7550          -9.9792      -9.9983       0.0191    73.9
0.7600          -9.9806      -9.9978       0.0172    66.6
0.7650          -9.9813      -9.9956       0.0143    55.3
0.7700          -9.9821      -9.9924       0.0102    39.5
0.7750          -9.9830      -9.9891       0.0060    23.3
0.7800          -9.9831      -9.9863       0.0032    12.6
0.7850          -9.9831      -9.9842       0.0012     4.6
0.7900          -9.9830      -9.9832       0.0001     0.5
0.7950          -9.9830      -9.9833       0.0003     1.1
0.8000          -9.9831      -9.9848       0.0017     6.7
0.8050          -9.9828      -9.9875       0.0047    18.1
0.8100          -9.9828      -9.9906       0.0078    30.3
0.8150          -9.9834      -9.9937       0.0104    40.1
0.8200          -9.9837      -9.9962       0.0125    48.4
0.8250          -9.9840      -9.9978       0.0138    53.5
0.8300          -9.9847      -9.9982       0.0135    52.3
0.8350          -9.9853      -9.9973       0.0119    46.2
0.8400          -9.9862      -9.9952       0.0090    34.8
0.8450          -9.9866      -9.9925       0.0060    23.1
0.8500          -9.9865      -9.9898       0.0034    13.0
0.8550          -9.9868      -9.9878       0.0010     4.0
0.8600          -9.9869      -9.9871       0.0002     0.7
0.8650          -9.9869      -9.9875       0.0006     2.4
0.8700          -9.9869      -9.9888       0.0019     7.4
